ex_date,pay_date,amount
2020-07-01,2020-07-08,0.110052
2020-08-03,2020-08-07,0.099876
2020-09-01,2020-09-08,0.088008
2020-10-01,2020-10-07,0.079256
2020-11-02,2020-11-06,0.075943
2020-12-01,2020-12-07,0.079751
2020-12-17,2020-12-23,0.072535
2021-02-01,2021-02-05,0.077553
2021-03-01,2021-03-05,0.069871
2021-04-01,2021-04-08,0.069712
2021-05-03,2021-05-07,0.074471
2021-06-01,2021-06-07,0.078615
2021-07-01,2021-07-08,0.076732
2021-08-02,2021-08-06,0.076119
2021-09-01,2021-09-08,0.080411
2021-10-01,2021-10-07,0.080198
2021-11-01,2021-11-05,0.081436
2021-12-01,2021-12-07,0.087705
2021-12-16,2021-12-22,0.105857
2022-02-01,2022-02-07,0.108126
2022-03-01,2022-03-07,0.100999
2022-04-01,2022-04-07,0.121442
2022-05-02,2022-05-06,0.125114
2022-06-01,2022-06-07,0.129264
2022-07-01,2022-07-08,0.155368
2022-08-01,2022-08-05,0.184051
2022-09-01,2022-09-08,0.179026
2022-10-03,2022-10-07,0.186566
2022-11-01,2022-11-07,0.202775
2022-12-01,2022-12-07,0.194028
2022-12-15,2022-12-21,0.191817
2023-02-01,2023-02-07,0.212178
2023-03-01,2023-03-07,0.196207
2023-04-03,2023-04-07,0.195983
2023-05-01,2023-05-05,0.238589
2023-06-01,2023-06-07,0.231595
2023-07-03,2023-07-10,0.231854
2023-08-01,2023-08-07,0.241540
2023-09-01,2023-09-08,0.241752
2023-10-02,2023-10-06,0.238922
2023-11-01,2023-11-07,0.248776
2023-12-01,2023-12-07,0.248948
2023-12-14,2023-12-20,0.281606
2024-02-01,2024-02-07,0.235883
2024-03-01,2024-03-07,0.249254
2024-04-01,2024-04-05,0.275844
2024-05-01,2024-05-07,0.270860
2024-06-03,2024-06-07,0.276435
2024-07-01,2024-07-05,0.285078
2024-08-01,2024-08-06,0.289105
2024-09-03,2024-09-06,0.288194
2024-10-01,2024-10-04,0.285919
2024-11-01,2024-11-06,0.291583
2024-12-02,2024-12-05,0.292013
2024-12-18,2024-12-23,0.307517
2025-02-03,2025-02-06,0.296357
2025-03-03,2025-03-06,0.275368
2025-04-01,2025-04-04,0.303674
2025-05-01,2025-05-06,0.313378
2025-06-02,2025-06-05,0.310131
2025-07-01,2025-07-07,0.303210
2025-08-01,2025-08-06,0.308775
2025-09-02,2025-09-05,0.314136
2025-10-01,2025-10-06,0.294485
2025-11-03,2025-11-06,0.303792
2025-12-01,2025-12-04,0.288439
2025-12-19,2025-12-24,0.312713
2026-02-02,2026-02-05,0.311986
2026-03-02,2026-03-05,0.282760
2026-04-01,2026-04-07,0.317166
2026-05-01,2026-05-06,0.312472
2026-06-01,2026-06-04,0.317197
2026-07-01,2026-07-07,0.311059
2026-08-03,2026-08-06,0.317549
2026-09-01,2026-09-04,0.332044
